# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       9.615006312368e+09       8.177017700971e-18       4.821127731702e-05       1.994348123419e+14       1.417455626907e+04       1.474211852504e-06       1.362884480163e+14       2.783479380192e-05       2.351675349480e+28       2.212449158231e+21       1.186830125113e+22       3.463959279501e-08       1.625747679832e+28       3.977424437387e+28       3.977424437387e+28       1.325807676437e+28      -1.099998051105e+33       1.054850209392e-04       1.025687234517e-01 
       9.607260460778e+09       8.190208452893e-18       4.825014912058e-05       1.991136123284e+14       1.417455626903e+04       1.475400435475e-06       1.361786540067e+14       2.785723559578e-05       2.344106460775e+28       2.207106415805e+21       1.183964103248e+22       3.463959279501e-08       1.620515195997e+28       3.964623061447e+28       3.964623061447e+28       1.321540552257e+28      -1.095574390828e+33       1.054937406149e-04       1.025602459593e-01 
       9.599520849248e+09       8.203420483473e-18       4.828905002796e-05       1.987929296240e+14       1.417455626899e+04       1.476589976741e-06       1.360689484472e+14       2.787969548333e-05       2.336561932608e+28       2.201776575323e+21       1.181105002408e+22       3.463959279501e-08       1.615299552959e+28       3.951862886850e+28       3.951862886850e+28       1.317287161856e+28      -1.091168520373e+33       1.055024602907e-04       1.025517698685e-01 
       9.591787472752e+09       8.216653827059e-18       4.832798367715e-05       1.984727633956e+14       1.417455626895e+04       1.477780477074e-06       1.359593312665e+14       2.790217347916e-05       2.329041686574e+28       2.196459605629e+21       1.178252805881e+22       3.463959279501e-08       1.610100696517e+28       3.939143780989e+28       3.939143780989e+28       1.313047461030e+28      -1.086780368199e+33       1.055111799665e-04       1.025432951790e-01 
       9.584060326265e+09       8.229908518006e-18       4.836694824917e-05       1.981531128114e+14       1.417455626891e+04       1.478971937248e-06       1.358498023935e+14       2.792466959786e-05       2.321545644521e+28       2.191155475642e+21       1.175407496992e+22       3.463959279501e-08       1.604918572641e+28       3.926465611685e+28       3.926465611685e+28       1.308821405721e+28      -1.082409863051e+33       1.055198996423e-04       1.025348218905e-01 
       9.576339404770e+09       8.243184590751e-18       4.840594374400e-05       1.978339770409e+14       1.417455626887e+04       1.480164358036e-06       1.357403617569e+14       2.794718385405e-05       2.314073728548e+28       2.185864154357e+21       1.172569059110e+22       3.463959279501e-08       1.599753127479e+28       3.913828247183e+28       3.913828247183e+28       1.304608952009e+28      -1.078056933962e+33       1.055286193182e-04       1.025263500025e-01 
       9.568624703251e+09       8.256482079786e-18       4.844497016165e-05       1.975153552550e+14       1.417455626883e+04       1.481357740213e-06       1.356310092858e+14       2.796971626235e-05       2.306625861005e+28       2.180585610842e+21       1.169737475642e+22       3.463959279501e-08       1.594604307350e+28       3.901231556151e+28       3.901231556151e+28       1.300410056118e+28      -1.073721510249e+33       1.055373389941e-04       1.025178795148e-01 
       9.560916216697e+09       8.269801019659e-18       4.848402932112e-05       1.971972466259e+14       1.417455626880e+04       1.482552084554e-06       1.355217449090e+14       2.799226683739e-05       2.299201964492e+28       2.175319814241e+21       1.166912730035e+22       3.463959279501e-08       1.589472058745e+28       3.888675407682e+28       3.888675407682e+28       1.296224674413e+28      -1.069403521514e+33       1.055460586701e-04       1.025094104271e-01 
       9.553213940103e+09       8.283141444971e-18       4.852311940340e-05       1.968796503271e+14       1.417455626876e+04       1.483747391835e-06       1.354125685556e+14       2.801483559382e-05       2.291801961859e+28       2.170066733771e+21       1.164094805778e+22       3.463959279501e-08       1.584356328330e+28       3.876159671290e+28       3.876159671290e+28       1.292052763396e+28      -1.065102897642e+33       1.055547783461e-04       1.025009427389e-01 
       9.545517868464e+09       8.296503390383e-18       4.856224040850e-05       1.965625655334e+14       1.417455626872e+04       1.484943662833e-06       1.353034801548e+14       2.803742254631e-05       2.284425776202e+28       2.164826338725e+21       1.161283686397e+22       3.463959279501e-08       1.579257062940e+28       3.863684216908e+28       3.863684216908e+28       1.287894279714e+28      -1.060819568800e+33       1.055634980221e-04       1.024924764499e-01 
